name,PaxinaWeb,Web,Enderezo,CodigoPostal,Provincia,Concello,WKT
"A CABANA","<a href=""http://www.turismo.gal/recurso/-/detalle/181011000123/a-cabana?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","","Lugo","Friol","POINT (-7.920739 43.06659)"
"ALBERGUE CASA DE PASARÍN","<a href=""http://www.turismo.gal/recurso/-/detalle/170907000127/albergue-casa-de-pasarin?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Rúa San Roque, nº 2","","Lugo","A Fonsagrada","POINT (-7.067829 43.12551)"
"ALBERGUE DE PEREGRINOS  DE BENDOIRO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380534/albergue-de-peregrinos-de-bendoiro?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","A Laxe, nº 21","36512","Pontevedra","Lalín","POINT (-8.163543 42.67642)"
"ALBERGUE DE PEREGRINOS  DE BRIALLOS","<a href=""http://www.turismo.gal/recurso/-/detalle/280380521/albergue-de-peregrinos-de-briallos?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","36658","Pontevedra","Portas","POINT (-8.645109 42.56268)"
"ALBERGUE DE PEREGRINOS  DE PONTECESURES","<a href=""http://www.turismo.gal/recurso/-/detalle/280380527/albergue-de-peregrinos-de-pontecesures?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Pousa Antelo, nº s/n","36640","Pontevedra","Pontecesures","POINT (-8.648965 42.721733)"
"ALBERGUE DE PEREGRINOS  DE PONTEVEDRA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380529/albergue-de-peregrinos-de-pontevedra?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Otero Pedrayo, nº s/n","","Pontevedra","Pontevedra","POINT (-8.636169 42.419544)"
"ALBERGUE DE PEREGRINOS  DE VALGA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380544/albergue-de-peregrinos-de-valga?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","36645","Pontevedra","Valga","POINT (-8.6410475 42.677624)"
"ALBERGUE DE PEREGRINOS  SAN PEDRO DE VILANOVA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380614/albergue-de-peregrinos-san-pedro-de-vilanova?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","15880","A Coruña","Vedra","POINT (-8.434143 42.791603)"
"ALBERGUE DE PEREGRINOS ""CASA DA PESCADERÍA""","<a href=""http://www.turismo.gal/recurso/-/detalle/280380555/albergue-de-peregrinos-casa-da-pescaderia-?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Pescadería, nº 4","15300","A Coruña","Betanzos","POINT (-8.211708 43.281445)"
"ALBERGUE DE PEREGRINOS ""CASA DAS NETAS""","<a href=""http://www.turismo.gal/recurso/-/detalle/280380525/albergue-de-peregrinos-casa-das-netas-?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Santo Cristo, nº 5","32130","Ourense","San Cristovo de Cea","POINT (-7.986454 42.47342)"
"ALBERGUE DE PEREGRINOS ""CASA DO ASISTENTE""","<a href=""http://www.turismo.gal/recurso/-/detalle/280380550/albergue-de-peregrinos-casa-do-asistente-?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Casa do Escudo - Barrio de San Lázaro, nº s/n","32600","Ourense","Verín","POINT (-7.442996 41.94066)"
"ALBERGUE DE PEREGRINOS CASA DA TORRE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380535/albergue-de-peregrinos-casa-da-torre?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Praza Ribadavia, nº s/n","36800","Pontevedra","Redondela","POINT (-8.60858 42.282196)"
"ALBERGUE DE PEREGRINOS CASA FORTE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380568/albergue-de-peregrinos-casa-forte?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº 5","27633","Lugo","Samos","POINT (-7.280342 42.739086)"
"ALBERGUE DE PEREGRINOS DA BANDEIRA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380518/albergue-de-peregrinos-da-bandeira?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Lourás, nº s/n","","Pontevedra","Silleda","POINT (-8.303217 42.73154)"
"ALBERGUE DE PEREGRINOS DE AIREXE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380539/albergue-de-peregrinos-de-airexe?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","27560","Lugo","Monterroso","POINT (-7.787079 42.86542)"
"ALBERGUE DE PEREGRINOS DE ARCA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380567/albergue-de-peregrinos-de-arca?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Avda. de Compostela, s/n","15821","A Coruña","O Pino","POINT (-8.358826 42.907036)"
"ALBERGUE DE PEREGRINOS DE ARZÚA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380541/albergue-de-peregrinos-de-arzua?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Cima do lugar, nº 6","15810","A Coruña","Arzúa","POINT (-8.162726 42.92622)"
"ALBERGUE DE PEREGRINOS DE AS SEIXAS","<a href=""http://www.turismo.gal/recurso/-/detalle/280380545/albergue-de-peregrinos-de-as-seixas?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","27205","Lugo","Palas de Rei","POINT (-7.881382 42.943653)"
"ALBERGUE DE PEREGRINOS DE BAAMONDE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380577/albergue-de-peregrinos-de-baamonde?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Crtra. Vilalba, nº 9","27371","Lugo","Begonte","POINT (-7.757184 43.174896)"
"ALBERGUE DE PEREGRINOS DE BARBADELO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380520/albergue-de-peregrinos-de-barbadelo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27616","Lugo","Sarria","POINT (-7.450803 42.76628)"
"ALBERGUE DE PEREGRINOS DE CALVOR","<a href=""http://www.turismo.gal/recurso/-/detalle/280380524/albergue-de-peregrinos-de-calvor?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27619","Lugo","Sarria","POINT (-7.355488 42.77365)"
"ALBERGUE DE PEREGRINOS DE CASTROVERDE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380570/albergue-de-peregrinos-de-castroverde?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","27122","Lugo","Castroverde","POINT (-7.320041 43.029633)"
"ALBERGUE DE PEREGRINOS DE FARAMELLO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380560/albergue-de-peregrinos-de-faramello?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Vilares, nº s/n","15886","A Coruña","Teo","POINT (-8.622587 42.810726)"
"ALBERGUE DE PEREGRINOS DE FERREIROS","<a href=""http://www.turismo.gal/recurso/-/detalle/280380547/albergue-de-peregrinos-de-ferreiros?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27611","Lugo","Paradela","POINT (-7.532845 42.783176)"
"ALBERGUE DE PEREGRINOS DE FISTERRA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380523/albergue-de-peregrinos-de-fisterra?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Real, nº 2","15155","A Coruña","Fisterra","POINT (-9.263146 42.907715)"
"ALBERGUE DE PEREGRINOS DE GONTÁN","<a href=""http://www.turismo.gal/recurso/-/detalle/280380580/albergue-de-peregrinos-de-gontan?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27730","Lugo","Abadín","POINT (-7.46846 43.367783)"
"ALBERGUE DE PEREGRINOS DE GONZAR","<a href=""http://www.turismo.gal/recurso/-/detalle/280380549/albergue-de-peregrinos-de-gonzar?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","","Lugo","Portomarín","POINT (-7.696137 42.826256)"
"ALBERGUE DE PEREGRINOS DE HOSPITAL DA CONDESA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380554/albergue-de-peregrinos-de-hospital-da-condesa?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27670","Lugo","Pedrafita do Cebreiro","POINT (-7.100072 42.704838)"
"ALBERGUE DE PEREGRINOS DE HOSPITAL DA CRUZ","<a href=""http://www.turismo.gal/recurso/-/detalle/280380566/albergue-de-peregrinos-de-hospital-da-cruz?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27212","Lugo","Portomarín","POINT (-7.7359505 42.841305)"
"ALBERGUE DE PEREGRINOS DE LAZA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380533/albergue-de-peregrinos-de-laza?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","do Toural, nº s/n","32620","Ourense","Laza","POINT (-7.462064 42.06356)"
"ALBERGUE DE PEREGRINOS DE LOURENZÁ","<a href=""http://www.turismo.gal/recurso/-/detalle/280380582/albergue-de-peregrinos-de-lourenza?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Campo da Feira, nº 15","27760","Lugo","Lourenzá","POINT (-7.301129 43.469807)"
"ALBERGUE DE PEREGRINOS DE LUGO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380565/albergue-de-peregrinos-de-lugo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Nóreas, nº 1","27001","Lugo","Lugo","POINT (-7.554077 43.011166)"
"ALBERGUE DE PEREGRINOS DE MATO CASANOVA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380569/albergue-de-peregrinos-de-mato-casanova?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27204","Lugo","Palas de Rei","POINT (-7.928939 42.878834)"
"ALBERGUE DE PEREGRINOS DE MELIDE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380548/albergue-de-peregrinos-de-melide?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","San Antonio, nº s/n","15800","A Coruña","Melide","POINT (-8.01819 42.91447)"
"ALBERGUE DE PEREGRINOS DE MIÑO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380557/albergue-de-peregrinos-de-mino?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","As Marismas, nº s/n","15630","A Coruña","Miño","POINT (-8.208364 43.35049)"
"ALBERGUE DE PEREGRINOS DE MONDOÑEDO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380583/albergue-de-peregrinos-de-mondonedo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Alcántara, nº s/n","27740","Lugo","Mondoñedo","POINT (-7.366191 43.427692)"
"ALBERGUE DE PEREGRINOS DE MONTE DO GOZO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380517/albergue-de-peregrinos-de-monte-do-gozo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Monte do Gozo","15820","A Coruña","Santiago de Compostela","POINT (-8.499883 42.887234)"
"ALBERGUE DE PEREGRINOS DE MOS","<a href=""http://www.turismo.gal/recurso/-/detalle/280380528/albergue-de-peregrinos-de-mos?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº 3","36415","Pontevedra","Mos","POINT (-8.606335 42.20461)"
"ALBERGUE DE PEREGRINOS DE MUXÍA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380562/albergue-de-peregrinos-de-muxia?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Enfesto, nº 22","15124","A Coruña","Muxía","POINT (-9.215508 43.101467)"
"ALBERGUE DE PEREGRINOS DE NEDA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380558/albergue-de-peregrinos-de-neda?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","15510","A Coruña","Neda","POINT (-8.152169 43.513493)"
"ALBERGUE DE PEREGRINOS DE NEGREIRA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380571/albergue-de-peregrinos-de-negreira?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","15830","A Coruña","Negreira","POINT (-8.741386 42.903214)"
"ALBERGUE DE PEREGRINOS DE OLVEIROA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380537/albergue-de-peregrinos-de-olveiroa?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15151","A Coruña","Dumbría","POINT (-9.039674 42.96759)"
"ALBERGUE DE PEREGRINOS DE OURENSE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380538/albergue-de-peregrinos-de-ourense?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Rúa Barreira, nº 12","32005","Ourense","Ourense","POINT (-7.864256 42.334858)"
"ALBERGUE DE PEREGRINOS DE PADRÓN","<a href=""http://www.turismo.gal/recurso/-/detalle/280380561/albergue-de-peregrinos-de-padron?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Costiña do Carme, nº s/n","15900","A Coruña","Padrón","POINT (-8.663359 42.738525)"
"ALBERGUE DE PEREGRINOS DE PALAS DE REI","<a href=""http://www.turismo.gal/recurso/-/detalle/280380572/albergue-de-peregrinos-de-palas-de-rei?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Avda. Compostela, nº 19","27200","Lugo","Palas de Rei","POINT (-7.86902 42.873158)"
"ALBERGUE DE PEREGRINOS DE PORTOMARÍN","<a href=""http://www.turismo.gal/recurso/-/detalle/280380573/albergue-de-peregrinos-de-portomarin?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Condes de Fenosa","27170","Lugo","Portomarín","POINT (-7.614964 42.81)"
"ALBERGUE DE PEREGRINOS DE POULO","<a href=""http://www.turismo.gal/recurso/-/detalle/190621000388/albergue-de-peregrinos-de-poulo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15687","A Coruña","Ordes","POINT (-8.380712 43.077618)"
"ALBERGUE DE PEREGRINOS DE RIBADEO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380581/albergue-de-peregrinos-de-ribadeo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","O Cargadoiro, nº s/n","27700","Lugo","Ribadeo","POINT (-7.037323 43.543938)"
"ALBERGUE DE PEREGRINOS DE RIBADISO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380553/albergue-de-peregrinos-de-ribadiso?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15810","A Coruña","Arzúa","POINT (-8.130525 42.930874)"
"ALBERGUE DE PEREGRINOS DE SAN LÁZARO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380519/albergue-de-peregrinos-de-san-lazaro?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15707","A Coruña","Santiago de Compostela","POINT (-8.513215 42.887386)"
"ALBERGUE DE PEREGRINOS DE SANDIÁS","<a href=""http://www.turismo.gal/recurso/-/detalle/280380542/albergue-de-peregrinos-de-sandias?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Estrada de Couso","32692","Ourense","Sandiás","POINT (-7.758118 42.10847)"
"ALBERGUE DE PEREGRINOS DE SANTA IRENE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380526/albergue-de-peregrinos-de-santa-irene?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15821","A Coruña","O Pino","POINT (-8.335813 42.91828)"
"ALBERGUE DE PEREGRINOS DE SARRIA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380575/albergue-de-peregrinos-de-sarria?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Maior, nº 57","27600","Lugo","Sarria","POINT (-7.414881 42.777477)"
"ALBERGUE DE PEREGRINOS DE SERGUDE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380563/albergue-de-peregrinos-de-sergude?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","","A Coruña","Carral","POINT (-8.345597 43.24637)"
"ALBERGUE DE PEREGRINOS DE SOBRADO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380559/albergue-de-peregrinos-de-sobrado?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Rúa do Convento, nº s/n","15813","A Coruña","Sobrado","POINT (-8.023028 43.03851)"
"ALBERGUE DE PEREGRINOS DE TRIACASTELA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380576/albergue-de-peregrinos-de-triacastela?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","do Peregrino, nº s/n","","Lugo","Triacastela","POINT (-7.235421 42.75544)"
"ALBERGUE DE PEREGRINOS DE TUI","<a href=""http://www.turismo.gal/recurso/-/detalle/280380540/albergue-de-peregrinos-de-tui?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Párroco Rodríguez Vázquez, nº s/n","36700","Pontevedra","Tui","POINT (-8.643834 42.045956)"
"ALBERGUE DE PEREGRINOS DE VILADERREI","<a href=""http://www.turismo.gal/recurso/-/detalle/280380551/albergue-de-peregrinos-de-viladerrei?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Vicente Risco, nº 89","32696","Ourense","Trasmiras","POINT (-7.596245 42.01467)"
"ALBERGUE DE PEREGRINOS DE VILALBA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380607/albergue-de-peregrinos-de-vilalba?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Polígono industrial de Vilalba - (Zona da Cruz Vermella)","27800","Lugo","Vilalba","POINT (-7.6609116 43.30816)"
"ALBERGUE DE PEREGRINOS DE VILAR DE BARRIO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380552/albergue-de-peregrinos-de-vilar-de-barrio?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Avenida de San Fiz, nº s/n","32702","Ourense","Vilar de Barrio","POINT (-7.609513 42.161045)"
"ALBERGUE DE PEREGRINOS DE XUNQUEIRA DE AMBÍA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380522/albergue-de-peregrinos-de-xunqueira-de-ambia?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Asdrúbal Ferreiro","32670","Ourense","Xunqueira de Ambía","POINT (-7.730506 42.201763)"
"ALBERGUE DE PEREGRINOS DO CÁDAVO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380574/albergue-de-peregrinos-do-cadavo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","da Feira, nº s/n","27130","Lugo","Baleira","POINT (-7.245113 43.01733)"
"ALBERGUE DE PEREGRINOS DO CEBREIRO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380515/albergue-de-peregrinos-do-cebreiro?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","27130","Lugo","Pedrafita do Cebreiro","POINT (-7.04625 42.707767)"
"ALBERGUE DE PEREGRINOS DO CONCO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380531/albergue-de-peregrinos-do-conco?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15151","A Coruña","Dumbría","POINT (-9.112138 43.00496)"
"ALBERGUE DE PEREGRINOS DO PORRIÑO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380532/albergue-de-peregrinos-do-porrino?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Finca Isla, nº s/n","36400","Pontevedra","O Porriño","POINT (-8.624746 42.162292)"
"ALBERGUE DE PEREGRINOS DOS CHACOTES","<a href=""http://www.turismo.gal/recurso/-/detalle/280380536/albergue-de-peregrinos-dos-chacotes?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","As Lagartas - Os Chacotes, nº s/n","27200","Lugo","Palas de Rei","POINT (-7.857182 42.874077)"
"ALBERGUE DE PEREGRINOS HOSPITAL DE BRUMA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380530/albergue-de-peregrinos-hospital-de-bruma?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15685","A Coruña","Mesía","POINT (-8.364208 43.151257)"
"ALBERGUE DE PEREGRINOS SAN ROMAO DA RETORTA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380606/albergue-de-peregrinos-san-romao-da-retorta?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","nº s/n","27234","Lugo","Guntín","POINT (-7.7466593 42.951496)"
"ALBERGUE DE PEREGRINOS TELLEIRA DE BAIUCA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380564/albergue-de-peregrinos-telleira-de-baiuca?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15818","A Coruña","Boimorto","POINT (-8.12645 43.012325)"
"ALBERGUE DE VIGO","<a href=""http://www.turismo.gal/recurso/-/detalle/210713000240/albergue-de-vigo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Rúa Ribeira do Berbés , nº 5","36202","Pontevedra","Vigo","POINT (-8.728933 42.237797)"
"ALBERGUE DE XINZO DE LIMIA","<a href=""http://www.turismo.gal/recurso/-/detalle/170823000286/albergue-de-xinzo-de-limia?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Rúa Serra de San Mamede, nº 6","","Ourense","Xinzo de Limia","POINT (-7.72891 42.063824)"
"CASA DA VIÚVA","<a href=""http://www.turismo.gal/recurso/-/detalle/210805000157/casa-da-viuva?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Avenida Beato Sebastián de Aparicio , nº 40","32540","Ourense","A Gudiña","POINT (-7.140875 42.060505)"
